Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),SHOTS,Dribble,,Note
oscar Rodriguez,Leganes,27,Milieu offensif,29,1290,1,4,2.63,2.82,0.18,0.20,0.38,2.00,,1.1,,6.49
Unai Gomez,Athletic Club,22,Milieu offensif,32,1267,1,3,2.79,01.02,0.20,0.07,0.27,6.00,19,0.6,,6.27
Carlos Vicente,Alaves,26,Milieu offensif,37,3114,5,5,3.14,6.42,0.09,0.19,0.28,10.00,36,0.9,,6.80
Randy Nteka,Rayo Vallecano,27,Milieu offensif,24,1151,3,0,3.34,0.76,0.26,0.06,0.32,1.50,16,0.7,,6.34
Dani Rodriguez,Mallorca,19,Milieu offensif,37,2207,4,7,3.41,4.18,0.14,0.17,0.31,0.80,31,0.8,,6.63
Martin Zubimendi,Real Sociedad,26,Milieu offensif,36,2966,2,1,3.92,1.21,0.12,0.04,0.16,60.00,,0.5,,6.78
Aimar Oroz,Osasuna,23,Milieu offensif,37,3027,5,4,4.51,04.08,0.13,0.12,0.26,15.00,48,1.3,,6.74
Giovani Lo Celso,Real Betis,29,Milieu offensif,25,1437,8,3,4.73,4.67,0.30,0.29,0.59,15.00,34,0.8,,6.99
Fermin Lopez,Barcelona,22,Milieu offensif,28,1224,6,5,4.76,4.71,0.35,0.35,0.7,50.00,41,1.5,,6.68
Dani Olmo,Barcelona,27,Milieu offensif,25,1221,10,4,6.64,3.85,0.49,0.28,0.77,60.00,42,0.9,,07.02
Isco,Real Betis,33,Milieu offensif,22,1565,9,8,8.83,05.05,0.51,0.29,0.8,6.00,44,1.2,,7.20
Martin Valjent,Mallorca,29,Milieu défensif,31,2773,3,0,1,0.12,0.03,0.00,0.04,6.00,,0.2,,6.70
Samu Costa,Mallorca,24,Milieu défensif,32,2667,0,2,02.07,1.75,0.07,0.06,0.13,15.00,,0.4,,6.76
Gerard Moreno,Villarreal,33,Milieu défensif,17,698,3,2,3.9,3.86,0.50,0.50,1,4.00,26,#N/A,,#N/A
Marc Roca,Real Betis,28,Milieu défensif,14,912,2,2,1.11,1.5,0.11,0.15,0.26,6.00,12,#N/A,,#N/A
Tamas Nikitscher,Real Valladolid,25,Milieu défensif,13,853,0,0,0.02,0.03,0.00,0.00,0.01,1.00,,#N/A,,#N/A
Axel Witsel,Atletico Madrid,36,Milieu défensif,14,845,0,1,0.06,0.84,0.01,0.09,0.1,2.00,,#N/A,,#N/A
Damian Rodriguez,Celta Vigo,22,Milieu défensif,17,934,0,0,0.13,0.77,0.01,0.07,0.09,3.00,,#N/A,,#N/A
Jailson,Celta Vigo,29,Milieu défensif,13,600,0,0,0.14,0.01,0.02,0.00,0.02,1.00,,#N/A,,#N/A
Stefan Bajcetic,Las Palmas,20,Milieu défensif,14,986,1,0,0.16,0.22,0.01,0.02,0.03,9.00,,#N/A,,#N/A
Oriol Romeu,Girona,33,Milieu défensif,25,1357,0,0,0.2,0.55,0.01,0.04,0.05,1.20,,0.2,,6.31
Hugo Sotelo,Celta Vigo,21,Milieu défensif,24,1268,0,0,0.21,1.46,0.01,0.10,0.12,4.00,,0.2,,6.37
Enzo Loiodice,Las Palmas,24,Milieu défensif,17,661,0,0,0.22,0.17,0.03,0.02,0.05,1.20,,#N/A,,#N/A
Stanko Juric,Real Valladolid,28,Milieu défensif,26,1757,0,0,0.39,0.53,0.02,0.03,0.05,1.20,,0.3,,6.36
Yvan Neyou,Leganes,28,Milieu défensif,30,2344,1,1,0.46,0.71,0.02,0.03,0.04,3.00,16,0.5,,6.56
Iker Munoz,Osasuna,22,Milieu défensif,23,554,0,1,0.52,0.97,0.08,0.16,0.24,3.00,,0.5,,6.13
Renato Tapia,Leganes,29,Milieu défensif,34,2442,1,0,0.63,0.27,0.02,0.01,0.03,2.00,,0.4,,6.61
Lucien Agoume,Sevilla,23,Milieu défensif,35,2113,1,3,0.65,2.38,0.03,0.10,0.13,8.00,10,0.3,,6.62
Dario Essugo,Las Palmas,20,Milieu défensif,27,1985,1,0,0.65,0.43,0.03,0.02,0.05,20.00,23,0.9,,6.54
Urko Gonzalez,"Espanyol,Real Sociedad",24,Milieu défensif,18,1441,0,2,0.68,0.87,0.04,0.05,0.1,5.00,,#N/A,,#N/A
Antonio Blanco,Alaves,24,Milieu défensif,35,2755,0,1,0.71,1.74,0.02,0.06,0.08,10.00,,0.7,,6.48
Omar Mascarell,Mallorca,32,Milieu défensif,32,1994,1,0,0.86,0.08,0.04,0.00,0.04,0.90,9,0.3,,6.49
Gerard Gumbau,Rayo Vallecano,30,Milieu défensif,22,824,0,1,1.29,1.19,0.14,0.13,0.27,1.50,,0.6,,6.32
Nemanja Gudelj,Sevilla,33,Milieu défensif,31,2495,1,1,1.51,0.65,0.05,0.02,0.08,3.00,,0.7,,6.60
Mario Martin,Real Valladolid,21,Milieu défensif,30,1740,0,1,1.67,1.38,0.09,0.07,0.16,1.50,,0.9,,6.17
Antonio Rüdiger,Real Madrid,32,Milieu défensif,29,2291,0,0,1.81,0.56,0.07,0.02,0.09,20.00,,0.8,,6.61
Aurelien Tchouameni,Real Madrid,25,Milieu défensif,32,2697,0,0,1.82,0.72,0.06,0.02,0.08,75.00,,0.3,,6.88
Pepelu,Valencia,26,Milieu défensif,34,1691,2,1,1.95,2.57,0.10,0.14,0.24,9.00,,0.4,,6.51
Carlos Romero,Espanyol,23,Milieu défensif,34,2566,2,1,2.48,2.1,0.09,0.07,0.16,5.00,,0.9,,6.69
Johnny Cardoso,Real Betis,23,Milieu défensif,28,2147,3,1,2.67,0.73,0.11,0.03,0.14,25.00,19,0.9,,6.87
Lucas Torro,Osasuna,30,Milieu défensif,35,2983,3,0,2.67,0.98,0.08,0.03,0.11,3.00,31,0.2,,6.84
Florian Lejeune,Rayo Vallecano,34,Milieu défensif,37,3329,2,3,3.58,1.93,0.10,0.05,0.15,2.50,,0.1,,6.85
Conor Gallagher,Atletico Madrid,25,Milieu central,32,1637,3,3,3,1.31,0.16,0.07,0.24,40.00,22,0.7,,6.62
Valentin Rosier,Leganes,28,Milieu central,32,2583,1,2,01.02,1.11,0.04,0.04,0.07,3.00,,0.7,,6.77
Frenkie de Jong,Barcelona,28,Milieu central,26,1105,2,2,01.02,2.3,0.08,0.19,0.27,45.00,5,0.2,,6.53
Pablo Marin,Real Sociedad,21,Milieu central,23,1224,1,2,2.2,1.17,0.16,0.09,0.25,8.00,,0.9,,6.41
Alvaro Rodriguez,Getafe,20,Milieu central,22,831,2,0,1.3,0.64,0.14,0.07,0.21,2.50,25,1.1,,6.59
Mikel Oyarzabal,Real Sociedad,28,Milieu central,35,2291,9,3,10.3,2.9,0.40,0.11,0.52,25.00,43,1.2,,6.46
Mikel Jauregizar,Athletic Club,21,Milieu central,34,2244,2,1,01.04,1.6,0.04,0.06,0.11,30.00,21,0.6,,6.77
Darko Brasanac,Leganes,33,Milieu central,30,1606,1,2,02.05,0.32,0.12,0.02,0.13,0.50,,0.4,,6.34
Gavi,Barcelona,20,Milieu central,26,1079,1,1,01.06,1.65,0.09,0.14,0.23,60.00,11,0.4,,6.48
Antonio Raillo,Mallorca,33,Milieu central,36,3211,2,0,2.8,1.89,0.08,0.05,0.13,1.80,,0.1,,6.87
Jose Gragera,Espanyol,25,Milieu central,10,580,0,0,0.04,0.02,0.01,0.00,0.01,2.00,,#N/A,,#N/A
Jose Campana,Las Palmas,32,Milieu central,25,1208,0,3,0.14,0.89,0.01,0.07,0.08,0.90,,0.2,,6.41
Pol Lozano,Espanyol,25,Milieu central,30,2015,0,1,0.16,1,0.01,0.04,0.05,5.00,,0.3,,6.41
Sergi Gomez,Espanyol,33,Milieu central,12,648,0,0,0.17,0,0.02,0.00,0.02,0.60,,#N/A,,#N/A
Arthur Melo,Girona,28,Milieu central,15,943,0,0,0.27,0.18,0.03,0.02,0.04,5.00,,#N/A,,#N/A
Dani Ceballos,Real Madrid,28,Milieu central,23,1235,0,0,0.31,1.94,0.02,0.14,0.16,10.00,,0.3,,6.58
Benat Turrientes,Real Sociedad,23,Milieu central,21,933,0,0,0.34,0.37,0.03,0.04,0.07,10.00,,0.3,,6.28
Manu Morlanes,Mallorca,26,Milieu central,23,1335,0,0,0.45,0.45,0.03,0.03,0.06,2.50,,0.5,,6.51
Gimenez,Atletico Madrid,30,Milieu central,27,1984,0,1,0.46,0.36,0.02,0.02,0.04,20.00,,#N/A,,#N/A
Jon Martin,Real Sociedad,19,Milieu central,13,884,0,1,0.5,0.16,0.05,0.02,0.07,8.00,,#N/A,,#N/A
Javi Sanchez,Real Valladolid,28,Milieu central,25,2050,2,0,0.52,0.48,0.02,0.02,0.04,1.50,,0.4,,6.41
Marcos Llorente,Atletico Madrid,30,Milieu central,33,2515,2,4,0.68,3.79,0.02,0.14,0.16,25.00,,0.4,,6.90
Albert Sambi Lokonga,Sevilla,25,Milieu central,22,1482,0,2,0.77,1.4,0.05,0.09,0.13,8.00,,0.6,,6.37
Lucas Rosa,Real Valladolid,25,Milieu central,21,1890,0,1,0.86,02.02,0.04,0.10,0.14,3.00,,0.4,,6.54
Eduardo Camavinga,Real Madrid,22,Milieu central,19,1079,1,2,0.89,0.91,0.07,0.08,0.15,60.00,,0.8,,6.93
Benat Prados,Athletic Club,24,Milieu central,30,1736,1,0,0.91,01.09,0.05,0.06,0.1,18.00,,0.5,,6.63
Marc Casado,Barcelona,21,Milieu central,23,1640,1,3,0.91,1.63,0.05,0.09,0.14,30.00,14,0.2,,6.75
Ander Guevara,Alaves,27,Milieu central,33,1969,0,1,0.97,0.67,0.04,0.03,0.08,3.50,,0.4,,6.40
Edu Exposito,Espanyol,28,Milieu central,19,1044,0,2,1.19,3.67,0.10,0.32,0.42,3.00,,0.8,,6.74
Carles Alena,"Alaves,Getafe",27,Milieu central,24,1568,0,2,1.25,02.07,0.07,0.12,0.19,2.50,,#N/A,,#N/A
Aitor Ruibal,Real Betis,29,Milieu central,29,1287,1,3,1.27,2.65,0.09,0.19,0.27,3.50,16,0.6,,6.50
Pablo Barrios,Atletico Madrid,22,Milieu central,31,2347,1,4,1.37,2.93,0.05,0.11,0.16,55.00,29,0.8,,6.76
Donny van de Beek,Girona,28,Milieu central,26,1435,2,2,1.39,3.2,0.09,0.20,0.29,5.00,18,0.7,,6.45
Unai Lopez,Rayo Vallecano,29,Milieu central,32,1740,3,1,1.56,0.91,0.08,0.05,0.13,2.50,26,0.8,,6.52
Manu Sanchez,Alaves,24,Milieu central,33,2651,1,0,1.61,1.18,0.05,0.04,0.09,6.00,,0.4,,6.45
Sergi Altimira,Real Betis,23,Milieu central,32,1985,0,1,1.64,1.77,0.07,0.08,0.15,15.00,,0.7,,6.44
Miguel Gutierrez,Girona,23,Milieu central,29,2477,1,5,1.87,4.6,0.07,0.15,0.22,20.00,,1,,6.71
Sergi Darder,Mallorca,31,Milieu central,38,2811,2,6,1.89,4.96,0.06,0.16,0.22,4.00,36,0.9,,6.74
Enzo Boyomo,"Osasuna,Real Valladolid",23,Milieu central,37,3254,2,0,1.94,01.02,0.05,0.03,0.08,20.00,,0.4,,6.68
Alex Kral,Espanyol,27,Milieu central,37,2699,0,1,1.97,2.12,0.07,0.07,0.14,6.00,,0.6,,6.50
Javi Puado,Espanyol,27,Milieu central,35,3023,12,4,11.95,2.97,0.36,0.09,0.44,10.00,71,2,,6.56
Ilaix Moriba,Celta Vigo,22,Milieu central,33,2115,1,1,2.14,2.32,0.09,0.10,0.19,6.00,34,1,,6.57
Kike Salas,Sevilla,23,Milieu central,31,2238,3,2,2.17,0.75,0.09,0.03,0.12,8.00,,0.1,,6.74
Seydouba Cisse,Leganes,24,Milieu central,34,2494,3,1,2.29,0.88,0.08,0.03,0.11,3.00,,0.7,,6.58
Javi Guerra,Valencia,22,Milieu central,36,2642,3,3,2.31,3.46,0.08,0.12,0.2,25.00,,1.3,,6.54
Pedri,Barcelona,22,Milieu central,37,2941,4,5,2.51,7.81,0.08,0.24,0.32,140.00,24,1.1,,7.16
Federico Valverde,Real Madrid,26,Milieu central,36,3035,6,4,2.51,4.41,0.07,0.13,0.21,130.00,57,0.4,,7.16
Pathe Ciss,Rayo Vallecano,31,Milieu central,33,2166,4,1,2.56,1.44,0.11,0.06,0.17,2.00,21,0.6,,6.62
Fernando Lopez,Celta Vigo,21,Milieu central,17,654,2,0,2.64,2.18,0.36,0.30,0.66,5.00,,#N/A,,#N/A
Dani Parejo,Villarreal,36,Milieu central,36,2279,3,3,2.64,1.28,0.10,0.05,0.15,1.50,,0.4,,6.69
Djibril Sow,Sevilla,28,Milieu central,30,2095,2,1,2.68,02.02,0.12,0.09,0.2,7.50,22,0.7,,6.53
Javi Rodriguez,Celta Vigo,22,Milieu central,36,2490,3,2,2.71,1.14,0.10,0.04,0.14,15.00,,0.3,,6.56
Pedro Diaz,Rayo Vallecano,27,Milieu central,26,1199,3,0,2.71,2.28,0.20,0.17,0.37,3.00,,1.2,,6.44
Ramon Terrats,"Getafe,Villarreal",24,Milieu central,26,1356,4,1,2.91,3.27,0.19,0.22,0.41,4.00,19,#N/A,,#N/A
Carles Perez,Getafe,27,Milieu central,27,1438,3,0,3.45,1.21,0.22,0.08,0.29,2.00,,1.3,,6.45
Saul niguez,Sevilla,30,Milieu central,24,1556,1,6,3.65,2.11,0.21,0.12,0.33,3.00,,#N/A,,#N/A
Luka Sucic,Real Sociedad,22,Milieu central,29,1804,1,1,3.66,3.43,0.18,0.17,0.35,15.00,,1.5,,6.54
Pape Gueye,Villarreal,26,Milieu central,34,2246,4,0,3.89,1.54,0.16,0.06,0.22,15.00,54,0.3,,6.71
Luis Rioja,"Alaves,Valencia",31,Milieu central,37,2898,4,3,3.95,4.48,0.12,0.14,0.26,2.00,30,1.2,,6.71
Joan Jordan,Alaves,30,Milieu central,25,1397,5,2,4.28,2.17,0.28,0.14,0.42,2.50,17,0.7,,6.61
Jon Guridi,Alaves,30,Milieu central,33,2149,3,1,4.34,1.14,0.18,0.05,0.23,3.00,24,0.7,,6.43
Santi Comesana,Villarreal,28,Milieu central,35,2597,4,2,4.79,2.94,0.17,0.10,0.27,8.00,39,0.5,,6.78
Yangel Herrera,Girona,27,Milieu central,29,2293,4,3,4.83,2.41,0.19,0.09,0.28,15.00,39,0.7,,6.82
Alberto Moleiro,Las Palmas,21,Milieu central,35,2765,6,1,5.75,3.68,0.19,0.12,0.31,25.00,68,1.9,,6.70
Dani Raba,Leganes,29,Milieu central,29,1925,8,6,7.21,6.13,0.34,0.29,0.62,2.50,44,1.6,,07.01
Alex Berenguer,Athletic Club,29,Milieu central,36,2381,6,7,7.48,6.5,0.28,0.23,0.51,9.00,52,0.9,,6.82
Mauro Arambarri,Getafe,29,Milieu central,35,2670,10,0,9.48,0.65,0.32,0.02,0.34,12.00,56,1.6,,6.67
Antonio Sanchez,Mallorca,28,Miilieu central,33,1353,0,0,1.29,0.42,0.09,0.03,0.11,2.50,,0.5,,6.30
Andre Ferreira,Real Valladolid,29,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,0.70,,#N/A,,#N/A
Inaki Pena,Barcelona,26,Gardien de but,16,1393,0,0,0,0,0.00,0.00,0,8.00,,#N/A,,#N/A
Rui Silva,Real Betis,31,Gardien de but,15,1350,0,0,0,0.08,0.00,0.01,0.01,7.00,,#N/A,,#N/A
Leo Roman,Mallorca,24,Gardien de but,7,630,0,0,0,0,0.00,0.00,0,5.00,,#N/A,,#N/A
alvaro Fernandez,Sevilla,27,Gardien de but,9,744,0,0,0,0.05,0.00,0.01,0.01,2.00,,#N/A,,#N/A
Andriy Lunin,Real Madrid,26,Gardien de but,7,630,0,1,0,0.92,0.00,0.13,0.13,18.00,,#N/A,,#N/A
Julen Agirrezabala,Athletic Club,24,Gardien de but,14,1212,0,0,0,0,0.00,0.00,0,15.00,,#N/A,,#N/A
Marc-Andre ter Stegen,Barcelona,33,Gardien de but,8,677,0,0,0,0,0.00,0.00,0,12.00,,#N/A,,#N/A
Luiz Junior,Villarreal,24,Gardien de but,17,1455,0,0,0,0,0.00,0.00,0,10.00,,#N/A,,#N/A
Dani Cardenas,Rayo Vallecano,28,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,1.80,,#N/A,,#N/A
Dinko Horkas,Las Palmas,26,Gardien de but,13,1081,0,0,0,0,0.00,0.00,0,1.20,,#N/A,,#N/A
Wojciech Szczesny,Barcelona,35,Gardien de but,15,1350,0,0,0,0,0.00,0.00,0,1.00,,#N/A,,#N/A
Juan Soriano,Leganes,27,Gardien de but,6,540,0,0,0,0,0.00,0.00,0,1.00,,#N/A,,#N/A
Thibaut Courtois,Real Madrid,33,Gardien de but,30,2700,0,0,0,0.17,0.00,0.01,0.01,20.00,,-,,6.80
Unai Simon,Athletic Club,28,Gardien de but,21,1890,0,0,0,0,0.00,0.00,0,28.00,,-,,6.71
Marko Dmitrovic,Leganes,33,Gardien de but,32,2880,0,0,0,0.1,0.00,0.00,0,0.80,,-,,6.71
Dominik Greif,Mallorca,28,Gardien de but,31,2790,0,0,0,0,0.00,0.00,0,6.00,,-,,6.69
Jan Oblak,Atletico Madrid,32,Gardien de but,36,3240,0,0,0,0.02,0.00,0.00,0,20.00,,-,,6.68
David Soria,Getafe,32,Gardien de but,38,3420,0,0,0,0,0.00,0.00,0,3.00,,-,,6.61
Jasper Cillessen,Las Palmas,36,Gardien de but,27,2339,0,0,0,0,0.00,0.00,0,0.80,,-,,6.61
Karl Hein,Real Valladolid,23,Gardien de but,31,2790,0,0,0,0,0.00,0.00,0,3.00,,-,,6.57
Diego Conde,Villarreal,26,Gardien de but,22,1965,0,1,0,0.4,0.00,0.02,0.02,7.50,,-,,6.54
Giorgi Mamardashvili,Valencia,24,Gardien de but,34,3060,0,0,0,0.07,0.00,0.00,0,30.00,,-,,6.54
Paulo Gazzaniga,Girona,33,Gardien de but,36,3198,0,0,0,0,0.00,0.00,0,2.50,,-,,6.54
Vicente Guaita,Celta Vigo,38,Gardien de but,34,3060,0,0,0,0,0.00,0.00,0,0.70,,-,,6.51
Antonio Sivera,Alaves,28,Gardien de but,32,2817,0,0,0,0.04,0.00,0.00,0,6.00,,-,,6.50
Augusto Batalla,Rayo Vallecano,29,Gardien de but,32,2880,0,0,0,0.03,0.00,0.00,0,6.00,,0.2,,6.48
Ørjan Nyland,Sevilla,34,Gardien de but,30,2676,0,0,0,0.36,0.00,0.01,0.01,0.90,,-,,6.37
Adrian,Real Betis,38,Gardien de but,19,1710,0,0,0,0,0.00,0.00,0,0.50,,-,,6.34
Sergio Herrera,Osasuna,32,Gardien de but,37,3330,0,0,0,0,0.00,0.00,0,3.00,,-,,6.73
Pau Navarro,Villarreal,20,Gardien de but,17,902,0,0,0.02,0.01,0.00,0.00,0,3.00,,#N/A,,#N/A
Aleksandar Sedlar,Alaves,33,Gardien de but,9,599,0,0,0.02,0,0.00,0.00,0,0.30,,#N/A,,#N/A
Joan Garcia,Espanyol,24,Gardien de but,38,3420,0,0,0.07,0,0.00,0.00,0,25.00,,-,,6.94
Alex Remiro,Real Sociedad,30,Gardien de but,36,3240,0,0,0,0,0.00,0.00,0,18.00,,-,,6.58
Dani Gomez,Valencia,26,Deuxième attaquant,14,504,2,0,2.7,0.03,0.48,0.01,0.49,1.00,13,#N/A,,#N/A
Stoichkov,Alaves,31,Deuxième attaquant,16,675,0,1,1.19,01.03,0.16,0.14,0.3,1.50,18,#N/A,,#N/A
Iker Losada,"Celta Vigo,Real Betis",23,Deuxième attaquant,22,670,1,0,1.72,0.96,0.23,0.13,0.36,1.50,3,#N/A,,#N/A
Peque,Sevilla,22,Deuxième attaquant,26,1144,1,1,1.95,1.34,0.15,0.11,0.26,3.50,19,#N/A,,#N/A
Isi Palazon,Rayo Vallecano,30,Deuxième attaquant,35,2166,4,4,5.38,4.51,0.22,0.19,0.41,3.50,61,1.7,,6.70
Antoine Griezmann,Atletico Madrid,34,Deuxième attaquant,38,2514,8,7,8.41,8.12,0.30,0.29,0.59,18.00,50,0.4,,6.83
Marcão,Sevilla,29,Défenseur central,12,547,0,0,0,0,0.00,0.00,0,2.00,,#N/A,,#N/A
Yoel Lago,Celta Vigo,21,Défenseur central,8,589,0,1,0,0.03,0.00,0.01,0.01,1.00,,#N/A,,#N/A
Logan Costa,Villarreal,24,Défenseur central,32,2596,2,1,1,0.32,0.03,0.01,0.05,18.00,,0.4,,6.58
David Lopez,Girona,22,Défenseur central,29,2429,1,1,01.02,0.78,0.04,0.03,0.07,1.00,,0.4,,6.56
Alex Sola,Getafe,26,Défenseur central,19,1077,0,1,01.02,1.14,0.09,0.10,0.18,2.50,,0.8,,6.31
Clement Lenglet,Atletico Madrid,30,Défenseur central,23,1987,2,1,2.2,0.95,0.10,0.04,0.14,7.50,,0.1,,6.87
Yarek Gasiorowski,Valencia,20,Défenseur central,15,944,0,0,01.03,0.16,0.10,0.02,0.11,7.50,,#N/A,,#N/A
Dani Vivian,Athletic Club,25,Défenseur central,32,2590,4,0,2.3,0.67,0.08,0.02,0.1,40.00,,0.3,,6.97
Robin Le Normand,Atletico Madrid,28,Défenseur central,27,2140,1,0,1.4,0.68,0.06,0.03,0.09,40.00,,0.1,,6.74
Javi Munoz,Las Palmas,30,Défenseur central,35,2592,1,3,02.04,2.32,0.07,0.08,0.15,2.00,,0.7,,6.51
Moussa Diarra,Alaves,24,Défenseur central,26,1855,0,0,0.02,0.17,0.00,0.01,0.01,1.80,,-,,6.30
Joseph Aidoo,"Celta Vigo,Real Valladolid",29,Défenseur central,9,589,0,0,0.04,0,0.01,0.00,0.01,1.20,,#N/A,,#N/A
Jon Pacheco,Real Sociedad,24,Défenseur central,14,849,0,0,0.09,0.06,0.01,0.01,0.02,6.00,,#N/A,,#N/A
Juanpe,Girona,34,Défenseur central,12,720,0,0,0.09,0.18,0.01,0.02,0.03,0.60,,#N/A,,#N/A
Facundo Garces,Alaves,25,Défenseur central,10,670,0,0,0.11,0.76,0.02,0.10,0.12,2.00,,#N/A,,#N/A
Cenk Özkacar,Real Valladolid,24,Défenseur central,11,750,0,0,0.11,0.03,0.01,0.00,0.02,1.20,,#N/A,,#N/A
Raul Albiol,Villarreal,39,Défenseur central,15,1186,0,0,0.11,0,0.01,0.00,0.01,1.00,,#N/A,,#N/A
Matija Nastasic,Leganes,32,Défenseur central,26,2118,1,0,0.14,0.09,0.01,0.00,0.01,0.80,,0.1,,6.61
Alejandro Frances,Girona,22,Défenseur central,18,1188,0,0,0.16,0.33,0.01,0.03,0.04,2.00,,#N/A,,#N/A
Tanguy Nianzou,Sevilla,23,Défenseur central,6,524,0,0,0.17,0,0.03,0.00,0.03,1.50,,#N/A,,#N/A
Juma Bah,Real Valladolid,19,Défenseur central,12,862,0,0,0.18,0.02,0.02,0.00,0.02,6.00,,#N/A,,#N/A
Cesar Azpilicueta,Atletico Madrid,35,Défenseur central,14,881,1,0,0.18,0.09,0.02,0.01,0.03,1.50,,#N/A,,#N/A
Carlos Dominguez,Celta Vigo,24,Défenseur central,19,1178,0,0,0.19,0.06,0.01,0.00,0.02,3.00,,0.2,,6.53
David Torres,Real Valladolid,22,Défenseur central,18,1384,0,0,0.21,0.01,0.01,0.00,0.01,1.50,,#N/A,,#N/A
Florian Grillitsch,Real Valladolid,29,Défenseur central,13,627,0,0,0.23,0.65,0.03,0.09,0.13,2.00,,#N/A,,#N/A
Dakonam Djene,Getafe,33,Défenseur central,31,2566,0,0,0.23,0.58,0.01,0.02,0.03,1.80,,#N/A,,#N/A
Willy Kambwala,Villarreal,20,Défenseur central,19,1097,0,0,0.23,0.07,0.02,0.01,0.02,4.00,,0.2,,6.32
Eric Bailly,Villarreal,31,Défenseur central,12,632,0,0,0.24,0,0.03,0.00,0.03,2.00,,#N/A,,#N/A
alex Suarez,Las Palmas,32,Défenseur central,30,2498,0,0,0.32,0.19,0.01,0.01,0.02,1.00,,0.2,,6.25
Cristhian Mosquera,Valencia,21,Défenseur central,37,3322,1,0,0.35,0,0.01,0.00,0.01,30.00,,0.1,,6.54
Inigo Ruiz,Athletic Club,31,Défenseur central,26,1502,0,4,0.37,3.47,0.02,0.21,0.23,3.00,,#N/A,,#N/A
Daley Blind,Girona,35,Défenseur central,34,2774,0,2,0.42,2.21,0.01,0.07,0.09,1.50,,0.3,,6.60
Mika Marmol,Las Palmas,23,Défenseur central,30,2398,0,1,0.46,1.56,0.02,0.06,0.08,10.00,,0.3,,6.56
Domingos Duarte,Getafe,30,Défenseur central,22,1865,1,0,0.48,0.04,0.02,0.00,0.03,0.80,,0.1,,6.55
Natan,Real Betis,24,Défenseur central,31,2163,1,1,0.49,1.27,0.02,0.05,0.07,9.00,,0.3,,6.56
Carl Starfelt,Celta Vigo,30,Défenseur central,28,2273,1,0,0.5,0.18,0.02,0.01,0.03,6.00,,-,,6.76
Inigo Martinez,Barcelona,34,Défenseur central,28,2505,0,4,0.51,2.25,0.02,0.08,0.1,5.00,,0.1,,6.91
Aritz Elustondo,Real Sociedad,31,Défenseur central,22,1452,0,0,0.51,0.22,0.03,0.01,0.05,3.00,,0.2,,6.48
Jose Copete,Mallorca,25,Défenseur central,25,1511,0,0,0.55,0,0.03,0.00,0.03,3.00,,#N/A,,#N/A
Juan Berrocal,Getafe,26,Défenseur central,19,1061,0,0,0.56,0.01,0.05,0.00,0.05,1.50,,0.2,,6.24
