Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio)
Jesus Areso,Osasuna,25,Arrière droit,36,3111,0,3,0.57,3.45,0.02,0.10,0.12,12.00
Ruben Pena,Osasuna,33,Arrière droit,25,737,0,0,0.86,0.51,0.11,0.06,0.17,1.20
Ivan Balliu,Rayo Vallecano,33,Arrière droit,25,1167,0,0,0.02,0.34,0.00,0.03,0.03,1.40
Andrei Ratiu,Rayo Vallecano,27,Arrière droit,35,3066,2,3,2.14,5.58,0.06,0.16,0.23,12.00
Hector Bellerin,Real Betis,30,Arrière droit,9,569,0,2,0.11,1.82,0.02,0.29,0.31,2.00
Youssouf Sabaly,Real Betis,32,Arrière droit,22,1612,0,1,0.23,0.58,0.01,0.03,0.05,1.80
Daniel Carvajal,Real Madrid,33,Arrière droit,8,613,1,0,1.1,0.13,0.16,0.02,0.18,8.00
Lucas Vazquez,Real Madrid,33,Arrière droit,32,2218,1,5,1.87,5.29,0.08,0.21,0.29,3.00
Hamari Traore,Real Sociedad,33,Arrière droit,11,725,0,1,0.33,0.16,0.04,0.02,0.06,2.00
Lucas Rosa,Real Valladolid,25,Arrière droit,21,1890,0,1,0.86,02.02,0.04,0.10,0.14,3.00
Antonio Candela,Real Valladolid,25,Arrière droit,12,935,0,0,0.05,0.39,0.00,0.04,0.04,1.80
Jose angel Carmona,Sevilla,23,Arrière droit,35,2993,0,0,0.6,1.95,0.02,0.06,0.08,12.00
Juanlu Sanchez,Sevilla,21,Arrière droit,32,1740,4,4,2.92,2.71,0.15,0.14,0.29,12.00
Thierry Correia,Valencia,26,Arrière droit,11,782,0,0,0.57,0.3,0.07,0.03,0.1,3.00
Dimitri Foulquier,Valencia,32,Arrière droit,32,2293,0,1,0.61,1.56,0.02,0.06,0.09,1.50
Kiko Femenia,Villarreal,34,Arrière droit,28,2242,0,1,0.32,2.13,0.01,0.09,0.1,0.90
Manu Sanchez,Alaves,24,Arrière gauche,33,2651,1,0,1.61,1.18,0.05,0.04,0.09,6.00
Adama Boiro,Athletic Club,23,Arrière gauche,18,1120,0,0,0.39,0.41,0.03,0.03,0.06,2.50
Yuri Berchiche,Athletic Club,35,Arrière gauche,30,2027,0,2,0.59,1.93,0.03,0.09,0.11,1.40
Reinildo Mandava,Atletico Madrid,31,Arrière gauche,19,916,0,0,0.05,0.18,0.01,0.02,0.02,5.00
Javi Galan,Atletico Madrid,30,Arrière gauche,25,1806,0,2,0.24,3.32,0.01,0.17,0.18,4.00
Gerard Martin,Barcelona,23,Arrière gauche,28,1018,1,3,0.64,1.3,0.06,0.11,0.17,12.00
Sergio Carreira,Celta Vigo,24,Arrière gauche,23,1658,0,4,0.95,2.71,0.05,0.15,0.2,4.00
Marcos Alonso,Celta Vigo,34,Arrière gauche,31,2660,3,0,4.14,1.85,0.14,0.06,0.2,1.50
Carlos Romero,Espanyol,23,Arrière gauche,34,2566,2,1,2.48,2.1,0.09,0.07,0.16,5.00
Brian Olivan,Espanyol,31,Arrière gauche,17,1020,0,1,0.41,0.94,0.04,0.08,0.12,1.80
Diego Rico,Getafe,32,Arrière gauche,33,2822,0,3,0.33,3.29,0.01,0.10,0.12,1.20
Juan Bernat,"Getafe,Villarreal",32,Arrière gauche,24,892,0,2,0.69,1.1,0.07,0.11,0.18,2.00
Miguel Gutierrez,Girona,23,Arrière gauche,29,2477,1,5,1.87,4.6,0.07,0.15,0.22,20.00
alex Munoz,Las Palmas,30,Arrière gauche,21,1443,3,0,1.15,0.53,0.07,0.03,0.1,1.00
Enric Franquesa,Leganes,28,Arrière gauche,12,612,1,0,0.39,0.06,0.06,0.01,0.07,1.50
Javi Hernandez,Leganes,27,Arrière gauche,31,2401,2,1,1.13,1.54,0.04,0.06,0.1,2.50
Toni Lato,Mallorca,27,Arrière gauche,14,615,0,0,0,0.32,0.00,0.05,0.05,1.80
Johan Mojica,Mallorca,32,Arrière gauche,36,2747,1,2,0.77,4.5,0.03,0.15,0.17,2.00
Juan Cruz,Osasuna,25,Arrière gauche,25,1509,0,0,0.12,0.03,0.01,0.00,0.01,5.00
Abel Bretones,Osasuna,24,Arrière gauche,35,2061,2,0,0.45,1.11,0.02,0.05,0.07,4.00
Alejandro Catena,Osasuna,30,Arrière gauche,35,3086,1,3,2.98,2.51,0.09,0.07,0.16,3.00
Alfonso Espino,Rayo Vallecano,33,Arrière gauche,16,835,0,1,0.71,0.66,0.08,0.07,0.15,1.20
Pep Chavarria,Rayo Vallecano,27,Arrière gauche,34,2574,0,1,1.25,1.71,0.04,0.06,0.1,5.00
Ricardo Rodriguez,Real Betis,32,Arrière gauche,18,1282,0,1,0.24,0.35,0.02,0.02,0.04,2.00
Romain Perraud,Real Betis,27,Arrière gauche,28,2005,2,2,0.6,1.94,0.03,0.09,0.11,5.00
Ferland Mendy,Real Madrid,30,Arrière gauche,14,1019,0,1,0,0.64,0.00,0.06,0.06,14.00
Raul Asencio,Real Madrid,22,Arrière gauche,23,1675,0,1,0.07,0.76,0.00,0.04,0.04,40.00
Fran Garcia,Real Madrid,25,Arrière gauche,31,2180,0,2,1.22,2.22,0.05,0.09,0.14,18.00
Sergio Gomez,Real Sociedad,24,Arrière gauche,37,2745,2,5,1.88,8.35,0.06,0.27,0.34,20.00
Javi Lopez,Real Sociedad,23,Arrière gauche,29,1934,0,0,0.14,0.87,0.01,0.04,0.05,7.50
Aihen Munoz,Real Sociedad,27,Arrière gauche,21,1098,0,0,0.16,0.13,0.01,0.01,0.02,4.00
Jon Aramburu,Real Sociedad,22,Arrière gauche,35,2466,1,1,0.45,0.9,0.02,0.03,0.05,15.00
Adam Aznou,Real Valladolid,19,Arrière gauche,13,884,0,0,0.27,0.53,0.03,0.05,0.08,4.00
Adrià Pedrosa,Sevilla,27,Arrière gauche,31,2323,1,1,0.87,1.72,0.03,0.07,0.1,7.00
Jesus Vazquez,Valencia,22,Arrière gauche,19,907,0,0,0.27,0.53,0.03,0.05,0.08,3.00
Sergi Cardona,Villarreal,25,Arrière gauche,35,2974,1,7,3.42,06.03,0.10,0.18,0.29,10.00
Juan Foyth,Villarreal,27,Arrière gauche,19,1515,1,0,2.26,0.4,0.13,0.02,0.16,15.00
Valentin Rosier,Leganes,28,Arriière droit,32,2583,1,2,01.02,1.11,0.04,0.04,0.07,3.00
Kike Garcia,Alaves,35,Avant-centre,35,2571,13,0,10.71,0.76,0.38,0.03,0.4,0.90
Antonio Martinez,Alaves,28,Avant-centre,28,965,4,0,3.82,0.68,0.36,0.06,0.42,2.50
Inaki Williams,Athletic Club,31,Avant-centre,35,2659,6,8,10.16,8.79,0.34,0.30,0.64,15.00
Maroan Sannadi,Athletic Club,24,Avant-centre,16,743,1,1,3.25,1.21,0.39,0.15,0.54,10.00
Gorka Guruzeta,Athletic Club,28,Avant-centre,36,1856,7,2,6.79,1.45,0.33,0.07,0.4,9.00
Julian Alvarez,Atletico Madrid,25,Avant-centre,37,2543,17,4,14.16,6.46,0.50,0.23,0.73,100.00
Alexander Sørloth,Atletico Madrid,29,Avant-centre,35,1525,20,2,20.45,1.3,1.21,0.08,1.28,25.00
Robert Lewandowski,Barcelona,36,Avant-centre,34,2716,27,2,29.41,2.48,0.97,0.08,01.06,12.00
Ferran Torres,Barcelona,25,Avant-centre,27,1093,10,6,9.68,3.56,0.80,0.29,01.09,40.00
Anastasios Douvikas,Celta Vigo,25,Avant-centre,20,690,3,1,5.1,0.23,0.67,0.03,0.7,10.00
Borja Iglesias,Celta Vigo,32,Avant-centre,37,1968,11,3,11.55,3.18,0.53,0.15,0.67,3.00
Iago Aspas,Celta Vigo,37,Avant-centre,30,1751,10,5,8.27,4.82,0.43,0.25,0.67,2.00
Irvin Cardona,Espanyol,27,Avant-centre,16,577,1,1,0.88,0.87,0.14,0.13,0.27,2.50
Walid Cheddira,Espanyol,27,Avant-centre,22,587,1,1,1.42,01.04,0.22,0.16,0.38,2.50
Alejo Veliz,Espanyol,21,Avant-centre,27,1115,1,0,2.34,0.07,0.19,0.01,0.19,2.50
Roberto Fernandez,Espanyol,22,Avant-centre,19,1537,6,0,3.25,0.89,0.19,0.05,0.24,6.00
Alvaro Rodriguez,Getafe,20,Avant-centre,22,831,2,0,1.3,0.64,0.14,0.07,0.21,2.50
Borja Mayoral,Getafe,28,Avant-centre,24,1064,5,1,4.1,1.32,0.35,0.11,0.46,7.50
Bertug Yildirim,Getafe,22,Avant-centre,22,1101,1,0,2.61,1.14,0.21,0.09,0.31,2.00
Christantus Uche,Getafe,22,Avant-centre,33,2542,4,6,3.54,4.28,0.13,0.15,0.28,15.00
Abel Ruiz,Girona,25,Avant-centre,23,1383,4,0,4.9,0.44,0.32,0.03,0.35,4.00
Bojan Miovski,Girona,26,Avant-centre,17,898,2,1,2.68,0.17,0.27,0.02,0.29,2.50
Cristhian Stuani,Girona,38,Avant-centre,32,998,11,2,8.71,0.43,0.79,0.04,0.82,1.00
Sandro Ramirez,Las Palmas,29,Avant-centre,31,2086,9,3,4.3,3.5,0.19,0.15,0.34,2.50
Oliver McBurnie,Las Palmas,29,Avant-centre,34,1835,3,6,06.04,3.45,0.30,0.17,0.47,2.50
Jaime Mata,Las Palmas,36,Avant-centre,30,571,0,0,2.45,0.11,0.39,0.02,0.4,0.40
Fabio Silva,Las Palmas,22,Avant-centre,24,1902,10,3,9.28,2.49,0.44,0.12,0.56,20.00
Diego Garcia,Leganes,25,Avant-centre,28,1171,3,0,4.4,0.26,0.34,0.02,0.36,1.50
Miguel De la Fuente,Leganes,25,Avant-centre,34,1708,1,3,5.79,1.13,0.31,0.06,0.36,2.00
Vedat Muriqi,Mallorca,31,Avant-centre,29,2081,7,2,10.99,2.7,0.48,0.12,0.59,5.00
Roberto Navarro,Mallorca,23,Avant-centre,23,1302,1,0,2.83,1.88,0.20,0.13,0.33,6.00
Cyle Larin,Mallorca,30,Avant-centre,32,1781,7,2,7.24,1.58,0.37,0.08,0.45,3.50
Ante Budimir,Osasuna,33,Avant-centre,38,3008,21,4,20.67,1.88,0.62,0.06,0.67,5.00
Raul Garcia,Osasuna,24,Avant-centre,32,673,4,0,3.33,0.69,0.45,0.09,0.54,3.00
Sergio Camello,Rayo Vallecano,24,Avant-centre,23,1150,3,2,3.94,2.31,0.31,0.18,0.49,3.00
Vitor Roque,Real Betis,20,Avant-centre,22,1252,4,0,06.07,1.75,0.44,0.13,0.56,20.00
Chimy Avila,Real Betis,31,Avant-centre,19,642,2,0,1.83,1.35,0.26,0.19,0.45,2.00
Cedric Bakambu,Real Betis,34,Avant-centre,25,661,2,2,3.76,0.84,0.51,0.11,0.63,1.50
Cucho Hernandez,Real Betis,26,Avant-centre,15,1172,5,1,4.77,1.61,0.37,0.12,0.49,18.00
Kylian Mbappe,Real Madrid,26,Avant-centre,34,2938,31,3,30.14,9.39,0.92,0.29,1.21,180.00
Mikel Oyarzabal,Real Sociedad,28,Avant-centre,35,2291,9,3,10.3,2.9,0.40,0.11,0.52,25.00
Orri oskarsson,Real Sociedad,20,Avant-centre,23,929,3,0,5.61,0.17,0.54,0.02,0.56,15.00
Umar Sadiq,"Real Sociedad,Valencia",28,Avant-centre,23,1040,5,0,4.48,0.89,0.39,0.08,0.47,5.00
Juanmi Latasa,Real Valladolid,24,Avant-centre,28,1376,3,0,4.55,0.58,0.30,0.04,0.34,2.00
Mamadou Sylla,Real Valladolid,31,Avant-centre,29,1569,5,1,4.97,0.96,0.29,0.06,0.34,1.20
Marcos Andre,Real Valladolid,28,Avant-centre,22,1213,1,2,3.19,1.41,0.24,0.10,0.34,1.00
Isaac Romero,Sevilla,25,Avant-centre,31,2200,4,2,8.18,2.59,0.33,0.11,0.44,6.00
Hugo Duro,Valencia,25,Avant-centre,31,2180,11,2,10.97,1.45,0.45,0.06,0.51,14.00
Rafa Mir,Valencia,28,Avant-centre,20,716,1,2,2.54,0.94,0.32,0.12,0.44,0.80
Gerard Moreno,Villarreal,33,Avant-centre,17,698,3,2,3.9,3.86,0.50,0.50,1,4.00
Thierno Barry,Villarreal,22,Avant-centre,35,2322,11,4,15.06,3.67,0.58,0.14,0.73,20.00
Ayoze Perez,Villarreal,31,Avant-centre,30,1987,19,2,15.23,3.13,0.69,0.14,0.83,10.00
Moussa Diarra,Alaves,24,Défenseur central,26,1855,0,0,0.02,0.17,0.00,0.01,0.01,1.80
Facundo Garces,Alaves,25,Défenseur central,10,670,0,0,0.11,0.76,0.02,0.10,0.12,2.00
Abdel Abqar,Alaves,26,Défenseur central,29,2489,0,1,0.86,0.24,0.03,0.01,0.04,7.50
Unai Nunez,Athletic Club,28,Défenseur central,10,643,0,0,0.49,0.03,0.07,0.00,0.07,3.00
Dani Vivian,Athletic Club,25,Défenseur central,32,2590,4,0,2.3,0.67,0.08,0.02,0.1,40.00
Yeray alvarez,Athletic Club,30,Défenseur central,21,1784,1,0,0.61,0.48,0.03,0.02,0.05,7.00
Aitor Paredes,Athletic Club,25,Défenseur central,23,1828,3,0,2.49,0.06,0.12,0.00,0.13,22.00
Gimenez,Atletico Madrid,30,Défenseur central,27,1984,0,1,0.46,0.36,0.02,0.02,0.04,20.00
Clement Lenglet,Atletico Madrid,30,Défenseur central,23,1987,2,1,2.2,0.95,0.10,0.04,0.14,7.50
Robin Le Normand,Atletico Madrid,28,Défenseur central,27,2140,1,0,1.4,0.68,0.06,0.03,0.09,40.00
Cesar Azpilicueta,Atletico Madrid,35,Défenseur central,14,881,1,0,0.18,0.09,0.02,0.01,0.03,1.50
Inigo Martinez,Barcelona,34,Défenseur central,28,2505,0,4,0.51,2.25,0.02,0.08,0.1,5.00
Ronald Araujo,Barcelona,26,Défenseur central,12,771,1,1,1.17,0.49,0.14,0.06,0.19,35.00
Eric Garcia,Barcelona,24,Défenseur central,29,1532,2,3,2.35,1.1,0.14,0.06,0.2,18.00
Javi Rodriguez,Celta Vigo,22,Défenseur central,36,2490,3,2,2.71,1.14,0.10,0.04,0.14,15.00
Yoel Lago,Celta Vigo,21,Défenseur central,8,589,0,1,0,0.03,0.00,0.01,0.01,1.00
Carlos Dominguez,Celta Vigo,24,Défenseur central,19,1178,0,0,0.19,0.06,0.01,0.00,0.02,3.00
Carl Starfelt,Celta Vigo,30,Défenseur central,28,2273,1,0,0.5,0.18,0.02,0.01,0.03,6.00
Joseph Aidoo,"Celta Vigo,Real Valladolid",29,Défenseur central,9,589,0,0,0.04,0,0.01,0.00,0.01,1.20
Sergi Gomez,Espanyol,33,Défenseur central,12,648,0,0,0.17,0,0.02,0.00,0.02,0.60
Fernando Calero,Espanyol,29,Défenseur central,21,675,1,0,0.57,0.05,0.08,0.01,0.08,1.50
Leandro Cabrera,Espanyol,34,Défenseur central,33,2878,4,2,1.61,0.93,0.05,0.03,0.08,1.00
Marash Kumbulla,Espanyol,25,Défenseur central,35,2981,3,0,2.69,0.29,0.08,0.01,0.09,7.50
Dakonam Djene,Getafe,33,Défenseur central,31,2566,0,0,0.23,0.58,0.01,0.02,0.03,1.80
Domingos Duarte,Getafe,30,Défenseur central,22,1865,1,0,0.48,0.04,0.02,0.00,0.03,0.80
Juan Berrocal,Getafe,26,Défenseur central,19,1061,0,0,0.56,0.01,0.05,0.00,0.05,1.50
Juan Iglesias,Getafe,26,Défenseur central,37,2888,0,1,1.42,02.03,0.04,0.06,0.11,3.50
Omar Alderete,Getafe,28,Défenseur central,34,2999,1,0,2.14,0.91,0.06,0.03,0.09,8.00
David Lopez,Girona,22,Défenseur central,29,2429,1,1,01.02,0.78,0.04,0.03,0.07,1.00
Juanpe,Girona,34,Défenseur central,12,720,0,0,0.09,0.18,0.01,0.02,0.03,0.60
Alejandro Frances,Girona,22,Défenseur central,18,1188,0,0,0.16,0.33,0.01,0.03,0.04,2.00
Daley Blind,Girona,35,Défenseur central,34,2774,0,2,0.42,2.21,0.01,0.07,0.09,1.50
Ladislav Krejci,Girona,26,Défenseur central,28,2436,2,0,1.68,0.33,0.06,0.01,0.07,12.00
alex Suarez,Las Palmas,32,Défenseur central,30,2498,0,0,0.32,0.19,0.01,0.01,0.02,1.00
Mika Marmol,Las Palmas,23,Défenseur central,30,2398,0,1,0.46,1.56,0.02,0.06,0.08,10.00
Juanma Herzog,Las Palmas,21,Défenseur central,19,1321,0,0,0.59,0,0.04,0.00,0.04,2.50
Scott McKenna,Las Palmas,28,Défenseur central,29,2468,0,0,1.19,0.25,0.04,0.01,0.05,4.00
Matija Nastasic,Leganes,32,Défenseur central,26,2118,1,0,0.14,0.09,0.01,0.00,0.01,0.80
Jorge Saenz,Leganes,28,Défenseur central,23,1694,1,0,1.82,0.14,0.10,0.01,0.1,1.50
Sergio Gonzalez,Leganes,33,Défenseur central,36,2966,2,0,1.96,0.58,0.06,0.02,0.08,0.80
Martin Valjent,Mallorca,29,Défenseur central,31,2773,3,0,1,0.12,0.03,0.00,0.04,6.00
Antonio Raillo,Mallorca,33,Défenseur central,36,3211,2,0,2.8,1.89,0.08,0.05,0.13,1.80
Jose Copete,Mallorca,25,Défenseur central,25,1511,0,0,0.55,0,0.03,0.00,0.03,3.00
Jorge Herrando,Osasuna,24,Défenseur central,18,1362,1,0,1.73,0,0.11,0.00,0.11,4.00
Enzo Boyomo,"Osasuna,Real Valladolid",23,Défenseur central,37,3254,2,0,1.94,01.02,0.05,0.03,0.08,20.00
Florian Lejeune,Rayo Vallecano,34,Défenseur central,37,3329,2,3,3.58,1.93,0.10,0.05,0.15,2.50
Abdul Mumin,Rayo Vallecano,27,Défenseur central,24,2020,2,1,0.76,0.19,0.03,0.01,0.04,5.00
Aridane Hernandez,Rayo Vallecano,36,Défenseur central,14,1026,0,0,1.14,0.05,0.10,0.00,0.1,0.30
Natan,Real Betis,24,Défenseur central,31,2163,1,1,0.49,1.27,0.02,0.05,0.07,9.00
Marc Bartra,Real Betis,34,Défenseur central,25,2101,2,1,1.37,0.14,0.06,0.01,0.06,1.00
Diego Llorente,Real Betis,31,Défenseur central,30,2521,2,0,1.84,0.37,0.07,0.01,0.08,6.00
Antonio Rüdiger,Real Madrid,32,Défenseur central,29,2291,0,0,1.81,0.56,0.07,0.02,0.09,20.00
Eder Militao,Real Madrid,27,Défenseur central,12,938,1,1,0.7,0.5,0.07,0.05,0.11,30.00
