Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),Dribble,Dribble %,Goal conversion %,Shots on target,Big chances,Key passes
Takuma Asano,Mallorca,30,Ailier droit,21,1071,2,1,2.96,0.93,0.25,0.08,0.33,2.50,6,27.27,7.14,8,1,8
Giuliano Simeone,Atletico Madrid,22,Ailier droit,33,1988,2,6,3,7.18,0.14,0.33,0.46,35.00,30,47.62,09.09,7,13,7
Manu Fuster,Las Palmas,27,Ailier droit,28,958,2,1,0.75,1.39,0.07,0.13,0.2,1.50,5,35.71,11.11,7,2,7
Ivan Sanchez,Real Valladolid,32,Ailier droit,32,1365,2,1,0.67,2.89,0.04,0.19,0.23,0.60,28,73.68,13.33,6,6,6
Ivan Sanchez,Real Valladolid,32,Ailier droit,32,1365,2,1,0.67,2.89,0.04,0.19,0.23,0.60,28,73.68,13.33,6,6,6
Anuar Mohamed,Real Valladolid,30,Ailier droit,26,1748,2,0,2.26,1.19,0.12,0.06,0.18,0.90,7,36.84,18.18,6,2,6
Ilias Akhomach,Villarreal,21,Ailier droit,11,604,1,0,0.61,1.25,0.09,0.19,0.28,15.00,19,52.78,5.88,6,1,6
Adnan Januzaj,Las Palmas,30,Ailier droit,18,563,2,1,0.99,1.17,0.16,0.19,0.35,1.20,14,38.89,12.5,5,5,5
Suso,Sevilla,31,Ailier droit,16,572,0,2,0.63,2.18,0.10,0.34,0.44,1.50,14,46.67,0,4,3,4
Portu,Girona,33,Ailier droit,27,728,1,2,1.76,1.63,0.22,0.20,0.42,1.80,4,44.44,12.5,4,2,4
Antoniu Roca,Espanyol,22,Ailier droit,26,1023,0,1,01.06,1.2,0.09,0.11,0.2,1.80,29,63.04,0,4,2,4
Alex Sola,Getafe,26,Ailier droit,19,1077,0,1,01.02,1.14,0.09,0.10,0.18,2.50,21,38.18,0,2,2,2
Takefusa Kubo,Real Sociedad,24,Ailier droit,36,2392,5,0,4.22,5.49,0.16,0.21,0.37,30.00,75,53.19,11.63,14,9,14
Raphinha,Barcelona,28,Ailier gauche,36,2862,18,10,19.27,13.53,0.61,0.43,01.03,90.00,52,54.17,15.79,43,26,43
Vinicius Junior,Real Madrid,24,Ailier gauche,30,2267,11,8,12.78,8.64,0.51,0.34,0.85,170.00,82,46.33,13.58,28,13,28
alvaro Garcia,Rayo Vallecano,32,Ailier gauche,36,2581,4,5,7.54,5.74,0.26,0.20,0.46,2.00,10,40,5.63,26,6,26
Abde Ezzalzouli,Real Betis,23,Ailier gauche,32,2038,2,2,9.59,2.41,0.42,0.11,0.53,12.00,46,55.42,3.23,26,2,26
Alfon Gonzalez,Celta Vigo,26,Ailier gauche,26,1382,5,2,4.9,3.2,0.32,0.21,0.53,5.00,25,44.64,10.87,21,4,21
Nico Williams,Athletic Club,22,Ailier gauche,29,1994,5,5,4.6,4.17,0.21,0.19,0.4,70.00,68,39.53,9.26,19,6,19
alex Baena,Villarreal,23,Ailier gauche,32,2639,7,9,7.2,12.61,0.25,0.43,0.68,55.00,21,43.75,10,18,21,18
Samuel Lino,Atletico Madrid,25,Ailier gauche,31,1580,3,4,06.08,3.48,0.35,0.20,0.54,22.00,27,50.94,6.67,18,6,18
Arnaut Danjuma,"Girona,Villarreal",28,Ailier gauche,28,1562,4,0,4.42,2.28,0.25,0.13,0.39,4.00,24,38.1,11.11,17,3,17
Raul Moro,Real Valladolid,22,Ailier gauche,33,2352,4,5,4.52,5.58,0.17,0.21,0.39,7.50,57,44.88,8.7,16,8,16
Bryan Gil,Girona,24,Ailier gauche,25,1769,3,3,2.35,2.93,0.12,0.15,0.27,15.00,41,44.09,9.38,15,4,15
Williot Swedberg,Celta Vigo,21,Ailier gauche,32,1329,4,5,5.42,2.35,0.37,0.16,0.53,5.00,10,25.64,12.5,15,3,15
Juan Cruz,Leganes,25,Ailier gauche,34,2292,5,4,2.75,4.15,0.11,0.16,0.27,5.00,40,55.56,15.15,14,10,14
Luis Rioja,"Alaves,Valencia",31,Ailier gauche,37,2898,4,3,3.95,4.48,0.12,0.14,0.26,2.00,42,52.5,16.67,14,5,14
Bryan Zaragoza,Osasuna,23,Ailier gauche,27,1887,1,6,3.27,4.37,0.16,0.21,0.36,12.00,57,45.97,2.38,13,4,13
Sheraldo Becker,Real Sociedad,30,Ailier gauche,22,996,2,1,1.88,1.79,0.17,0.16,0.33,2.50,4,50,09.09,13,4,13
Carlos Martin,Alaves,23,Ailier gauche,26,1367,2,2,2.48,2.59,0.16,0.17,0.33,2.80,9,25.71,7.69,12,3,12
Tomas Conechny,Alaves,27,Ailier gauche,22,837,1,0,3.48,0.35,0.37,0.04,0.41,1.80,6,46.15,4.55,10,0,10
Hugo alvarez,Celta Vigo,21,Ailier gauche,26,1572,4,3,2.69,1.6,0.15,0.09,0.25,7.50,32,45.71,16,9,2,9
Coba da Costa,Getafe,22,Ailier gauche,19,1003,1,1,1.43,1.63,0.13,0.15,0.27,3.00,19,36.54,4.35,8,3,8
Ander Barrenetxea,Real Sociedad,23,Ailier gauche,30,1271,1,3,1.97,2.45,0.14,0.17,0.31,15.00,26,39.39,4,8,3,8
Chidera Ejuke,Sevilla,27,Ailier gauche,25,917,2,1,0.95,1.6,0.09,0.16,0.25,4.00,47,58.75,10,8,2,8
Juanmi,"Getafe,Real Betis",32,Ailier gauche,24,914,0,0,3.69,0.84,0.36,0.08,0.45,2.00,8,47.06,0,8,1,8
Jesus Rodriguez,Real Betis,19,Ailier gauche,21,1143,2,0,2.51,0.36,0.20,0.03,0.23,30.00,30,39.47,8.7,8,0,8
Jonathan Bamba,Celta Vigo,29,Ailier gauche,12,823,0,1,0.66,1.87,0.07,0.20,0.28,3.50,15,44.12,0,6,3,6
Ruben Vargas,Sevilla,26,Ailier gauche,11,693,2,1,2.79,01.03,0.36,0.13,0.5,7.00,12,42.86,11.76,5,1,5
alvaro Djalo,Athletic Club,25,Ailier gauche,17,637,1,0,0.9,01.09,0.13,0.15,0.28,5.00,14,45.16,6.67,3,1,3
Yan Diomande,Leganes,18,Ailier gauche,10,544,2,1,1.27,0.82,0.21,0.14,0.35,1.50,23,62.16,18.18,3,0,3
Darwin Machis,Real Valladolid,32,Ailier gauche,18,621,0,1,1.14,01.08,0.16,0.16,0.32,0.60,5,29.41,0,2,2,2
Kylian Mbappe,Real Madrid,26,Avant-centre,34,2938,31,3,30.14,9.39,0.92,0.29,1.21,180.00,83,47.7,19.25,85,15,85
Robert Lewandowski,Barcelona,36,Avant-centre,34,2716,27,2,29.41,2.48,0.97,0.08,01.06,12.00,20,60.61,23.48,48,3,48
Alexander Sørloth,Atletico Madrid,29,Avant-centre,35,1525,20,2,20.45,1.3,1.21,0.08,1.28,25.00,14,38.89,25.32,42,2,42
Julian Alvarez,Atletico Madrid,25,Avant-centre,37,2543,17,4,14.16,6.46,0.50,0.23,0.73,100.00,34,54.84,22.97,41,9,41
Ante Budimir,Osasuna,33,Avant-centre,38,3008,21,4,20.67,1.88,0.62,0.06,0.67,5.00,10,25.64,21.21,37,3,37
Ayoze Perez,Villarreal,31,Avant-centre,30,1987,19,2,15.23,3.13,0.69,0.14,0.83,10.00,34,48.57,25.33,31,5,31
Borja Iglesias,Celta Vigo,32,Avant-centre,37,1968,11,3,11.55,3.18,0.53,0.15,0.67,3.00,11,37.93,23.91,28,6,28
Kike Garcia,Alaves,35,Avant-centre,35,2571,13,0,10.71,0.76,0.38,0.03,0.4,0.90,13,39.39,20.63,27,0,27
Thierno Barry,Villarreal,22,Avant-centre,35,2322,11,4,15.06,3.67,0.58,0.14,0.73,20.00,18,41.86,15.28,25,7,25
Inaki Williams,Athletic Club,31,Avant-centre,35,2659,6,8,10.16,8.79,0.34,0.30,0.64,15.00,33,37.08,9.52,24,14,24
Iago Aspas,Celta Vigo,37,Avant-centre,30,1751,10,5,8.27,4.82,0.43,0.25,0.67,2.00,15,65.22,19.23,24,7,24
Fabio Silva,Las Palmas,22,Avant-centre,24,1902,10,3,9.28,2.49,0.44,0.12,0.56,20.00,21,42,20.41,24,4,24
Ferran Torres,Barcelona,25,Avant-centre,27,1093,10,6,9.68,3.56,0.80,0.29,01.09,40.00,11,57.89,20.83,22,6,22
Sandro Ramirez,Las Palmas,29,Avant-centre,31,2086,9,3,4.3,3.5,0.19,0.15,0.34,2.50,16,38.1,17.31,21,6,21
Isaac Romero,Sevilla,25,Avant-centre,31,2200,4,2,8.18,2.59,0.33,0.11,0.44,6.00,21,36.84,7.41,20,5,20
Vedat Muriqi,Mallorca,31,Avant-centre,29,2081,7,2,10.99,2.7,0.48,0.12,0.59,5.00,9,37.5,12.73,19,4,19
Vitor Roque,Real Betis,20,Avant-centre,22,1252,4,0,06.07,1.75,0.44,0.13,0.56,20.00,10,28.57,9.76,19,3,19
Gorka Guruzeta,Athletic Club,28,Avant-centre,36,1856,7,2,6.79,1.45,0.33,0.07,0.4,9.00,11,55,11.86,19,2,19
Cristhian Stuani,Girona,38,Avant-centre,32,998,11,2,8.71,0.43,0.79,0.04,0.82,1.00,2,50,32.35,19,0,19
Mikel Oyarzabal,Real Sociedad,28,Avant-centre,35,2291,9,3,10.3,2.9,0.40,0.11,0.52,25.00,9,50,20.93,18,4,18
Hugo Duro,Valencia,25,Avant-centre,31,2180,11,2,10.97,1.45,0.45,0.06,0.51,14.00,7,35,22.45,18,2,18
Miguel De la Fuente,Leganes,25,Avant-centre,34,1708,1,3,5.79,1.13,0.31,0.06,0.36,2.00,8,24.24,2.86,16,2,16
Cyle Larin,Mallorca,30,Avant-centre,32,1781,7,2,7.24,1.58,0.37,0.08,0.45,3.50,8,27.59,17.95,15,2,15
Antonio Martinez,Alaves,28,Avant-centre,28,965,4,0,3.82,0.68,0.36,0.06,0.42,2.50,9,64.29,8.7,15,0,15
Christantus Uche,Getafe,22,Avant-centre,33,2542,4,6,3.54,4.28,0.13,0.15,0.28,15.00,32,39.51,8,14,7,14
Oliver McBurnie,Las Palmas,29,Avant-centre,34,1835,3,6,06.04,3.45,0.30,0.17,0.47,2.50,16,47.06,9.38,13,6,13
Juanmi Latasa,Real Valladolid,24,Avant-centre,28,1376,3,0,4.55,0.58,0.30,0.04,0.34,2.00,8,53.33,7.5,13,0,13
Gerard Moreno,Villarreal,33,Avant-centre,17,698,3,2,3.9,3.86,0.50,0.50,1,4.00,18,58.06,11.54,12,7,12
Raul Garcia,Osasuna,24,Avant-centre,32,673,4,0,3.33,0.69,0.45,0.09,0.54,3.00,11,57.89,16,12,1,12
Cedric Bakambu,Real Betis,34,Avant-centre,25,661,2,2,3.76,0.84,0.51,0.11,0.63,1.50,1,16.67,8.33,11,2,11
Cucho Hernandez,Real Betis,26,Avant-centre,15,1172,5,1,4.77,1.61,0.37,0.12,0.49,18.00,17,65.38,11.63,11,2,11
Chimy Avila,Real Betis,31,Avant-centre,19,642,2,0,1.83,1.35,0.26,0.19,0.45,2.00,5,50,10,10,5,10
Alvaro Rodriguez,Getafe,20,Avant-centre,22,831,2,0,1.3,0.64,0.14,0.07,0.21,2.50,16,51.61,8,10,1,10
Sergio Camello,Rayo Vallecano,24,Avant-centre,23,1150,3,2,3.94,2.31,0.31,0.18,0.49,3.00,13,61.9,9.38,9,5,9
Borja Mayoral,Getafe,28,Avant-centre,24,1064,5,1,4.1,1.32,0.35,0.11,0.46,7.50,6,37.5,25,9,2,9
Roberto Fernandez,Espanyol,22,Avant-centre,19,1537,6,0,3.25,0.89,0.19,0.05,0.24,6.00,11,40.74,28.57,9,1,9
Anastasios Douvikas,Celta Vigo,25,Avant-centre,20,690,3,1,5.1,0.23,0.67,0.03,0.7,10.00,4,36.36,17.65,9,0,9
Abel Ruiz,Girona,25,Avant-centre,23,1383,4,0,4.9,0.44,0.32,0.03,0.35,4.00,7,41.18,17.39,9,0,9
Diego Garcia,Leganes,25,Avant-centre,28,1171,3,0,4.4,0.26,0.34,0.02,0.36,1.50,4,40,10.34,9,0,9
Rafa Mir,Valencia,28,Avant-centre,20,716,1,2,2.54,0.94,0.32,0.12,0.44,0.80,2,15.38,3.7,8,2,8
Maroan Sannadi,Athletic Club,24,Avant-centre,16,743,1,1,3.25,1.21,0.39,0.15,0.54,10.00,14,51.85,5.26,7,3,7
Bertug Yildirim,Getafe,22,Avant-centre,22,1101,1,0,2.61,1.14,0.21,0.09,0.31,2.00,7,53.85,5.26,7,2,7
Mamadou Sylla,Real Valladolid,31,Avant-centre,29,1569,5,1,4.97,0.96,0.29,0.06,0.34,1.20,5,38.46,22.73,7,2,7
Umar Sadiq,"Real Sociedad,Valencia",28,Avant-centre,23,1040,5,0,4.48,0.89,0.39,0.08,0.47,5.00,16,50,20,7,1,7
Orri oskarsson,Real Sociedad,20,Avant-centre,23,929,3,0,5.61,0.17,0.54,0.02,0.56,15.00,2,28.57,15.79,7,0,7
Roberto Navarro,Mallorca,23,Avant-centre,23,1302,1,0,2.83,1.88,0.20,0.13,0.33,6.00,35,61.4,5.56,6,4,6
Alejo Veliz,Espanyol,21,Avant-centre,27,1115,1,0,2.34,0.07,0.19,0.01,0.19,2.50,1,25,5.26,6,1,6
Jaime Mata,Las Palmas,36,Avant-centre,30,571,0,0,2.45,0.11,0.39,0.02,0.4,0.40,5,62.5,0,6,0,6
Walid Cheddira,Espanyol,27,Avant-centre,22,587,1,1,1.42,01.04,0.22,0.16,0.38,2.50,4,22.22,7.69,4,2,4
Bojan Miovski,Girona,26,Avant-centre,17,898,2,1,2.68,0.17,0.27,0.02,0.29,2.50,3,60,14.29,4,0,4
Irvin Cardona,Espanyol,27,Avant-centre,16,577,1,1,0.88,0.87,0.14,0.13,0.27,2.50,3,27.27,10,3,1,3
Marcos Andre,Real Valladolid,28,Avant-centre,22,1213,1,2,3.19,1.41,0.24,0.10,0.34,1.00,17,48.57,4.55,2,3,2
Antoine Griezmann,Atletico Madrid,34,Deuxième attaquant,38,2514,8,7,8.41,8.12,0.30,0.29,0.59,18.00,15,45.45,16,18,13,18
Isi Palazon,Rayo Vallecano,30,Deuxième attaquant,35,2166,4,4,5.38,4.51,0.22,0.19,0.41,3.50,25,42.37,6.56,18,8,18
angel Correa,Atletico Madrid,30,Deuxième attaquant,31,721,4,1,5.4,02.08,0.67,0.26,0.93,10.00,13,35.14,11.76,14,2,14
Dani Gomez,Valencia,26,Deuxième attaquant,14,504,2,0,2.7,0.03,0.48,0.01,0.49,1.00,3,30,14.29,6,0,6
Peque,Sevilla,22,Deuxième attaquant,26,1144,1,1,1.95,1.34,0.15,0.11,0.26,3.50,11,47.83,5.26,4,2,4
Stoichkov,Alaves,31,Deuxième attaquant,16,675,0,1,1.19,01.03,0.16,0.14,0.3,1.50,6,40,0,3,3,3
Iker Losada,"Celta Vigo,Real Betis",23,Deuxième attaquant,22,670,1,0,1.72,0.96,0.23,0.13,0.36,1.50,4,36.36,12.5,3,2,3
