Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),Accurate passes,Accurate passes %,Key passes,Dribble,Passe moitié adverse,Accurate final third pass,% duels won,total duel won,possesion lost,shot on target,succesful dribbles%,Clearances,Dribbled past,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergi Altimira,Real Betis,23,Milieu central,32,1985,0,1,1.64,1.77,0.07,0.08,0.15,15.00,1120,89.67,22,16,567,241,52.61,121,192,4,69.57,42,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangel Herrera,Girona,27,Milieu central,29,2293,4,3,4.83,2.41,0.19,0.09,0.28,15.00,857,84.43,17,19,498,221,50.37,203,309,14,50,49,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Gueye,Villarreal,26,Milieu central,34,2246,4,0,3.89,1.54,0.16,0.06,0.22,15.00,906,81.55,17,11,487,230,61.96,158,302,17,40.74,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Samu Costa,Mallorca,24,Milieu défensif,32,2667,0,2,02.07,1.75,0.07,0.06,0.13,15.00,1152,81.59,15,13,573,232,54.46,232,372,8,44.83,82,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Benat Prados,Athletic Club,24,Milieu central,30,1736,1,0,0.91,01.09,0.05,0.06,0.1,18.00,640,82.47,11,15,362,145,48.72,114,199,5,55.56,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Jude Bellingham,Real Madrid,22,Milieu offensif,31,2510,9,8,13.08,4.31,0.47,0.15,0.62,180.00,1321,87.54,42,41,861,489,56.98,196,342,23,59.42,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Javi Munoz,Las Palmas,30,Milieu central,35,2592,1,3,02.04,2.32,0.07,0.08,0.15,2.00,858,79.81,30,21,512,236,51.18,65,254,8,85.71,32,30,,,,,,,,,,,,,,,,,,,,,,,,,,
oscar Rodriguez,Leganes,27,Milieu offensif,29,1290,1,4,2.63,2.82,0.18,0.20,0.38,2.00,377,76.78,19,21,254,110,47.62,90,230,6,44.68,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Carles Perez,Getafe,27,Milieu central,27,1438,3,0,3.45,1.21,0.22,0.08,0.29,2.00,214,73.54,17,21,162,89,35.62,78,199,9,43.75,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Grillitsch,Real Valladolid,29,Milieu défensif,13,627,0,0,0.23,0.65,0.03,0.09,0.13,2.00,400,80,15,11,134,53,60,39,73,2,78.57,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Moi Gomez,Osasuna,31,Milieu offensif,26,730,0,0,0.35,0.89,0.04,0.11,0.15,2.00,384,82.76,11,14,251,108,45.98,40,125,1,56,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Ibanez,Osasuna,26,Milieu central,28,1286,1,1,1.41,1.21,0.10,0.08,0.18,2.00,377,76.63,6,13,217,110,42.86,81,177,5,56.52,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Witsel,Atletico Madrid,36,Milieu défensif,14,845,0,1,0.06,0.84,0.01,0.09,0.1,2.00,493,90.79,2,1,135,26,66.18,45,61,0,50,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Raba,Leganes,29,Milieu central,29,1925,8,6,7.21,6.13,0.34,0.29,0.62,2.50,400,73.8,47,46,300,164,48,144,349,17,54.76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Jordan,Alaves,30,Milieu central,25,1397,5,2,4.28,2.17,0.28,0.14,0.42,2.50,657,81.82,31,6,442,236,48.42,107,320,6,61.76,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Carles Alena,"Alaves,Getafe",27,Milieu central,24,1568,0,2,1.25,02.07,0.07,0.12,0.19,2.50,438,79.78,22,15,334,172,54.65,94,192,5,71.43,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Lopez,Rayo Vallecano,29,Milieu central,32,1740,3,1,1.56,0.91,0.08,0.05,0.13,2.50,1022,85.95,19,15,490,237,49.68,77,244,11,78.95,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,
oscar Valentin,Rayo Vallecano,30,Milieu offensif,34,1804,0,0,0.75,0.81,0.04,0.04,0.08,2.50,687,83.17,13,5,357,145,45.93,124,172,1,55.56,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Vesga,Athletic Club,32,Milieu offensif,25,977,0,0,1.24,01.04,0.11,0.10,0.21,2.50,428,81.52,12,7,235,107,49.15,58,136,3,58.33,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Manu Morlanes,Mallorca,26,Milieu central,23,1335,0,0,0.45,0.45,0.03,0.03,0.06,2.50,623,89.64,10,3,346,167,54.69,70,102,1,37.5,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Kike Perez,Real Valladolid,28,Milieu central,19,1225,2,0,2.24,1.38,0.16,0.10,0.27,2.80,428,82.15,17,8,208,100,48.45,78,175,5,40,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Essugo,Las Palmas,20,Milieu défensif,27,1985,1,0,0.65,0.43,0.03,0.02,0.05,20.00,811,85.64,13,12,355,148,53.69,131,201,4,70.59,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Brais Mendez,Real Sociedad,28,Milieu offensif,27,1552,3,2,04.05,2.27,0.23,0.13,0.37,22.00,613,82.39,23,14,405,210,40.89,101,286,9,31.11,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo de Paul,Atletico Madrid,31,Milieu central,34,2137,3,5,1.47,5.93,0.06,0.25,0.31,25.00,1416,84.09,42,14,834,444,54.64,100,397,4,48.28,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Llorente,Atletico Madrid,30,Milieu central,33,2515,2,4,0.68,3.79,0.02,0.14,0.16,25.00,1162,87.9,28,14,581,301,60.89,123,277,5,51.85,49,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Javi Guerra,Valencia,22,Milieu central,36,2642,3,3,2.31,3.46,0.08,0.12,0.2,25.00,1007,80.43,23,29,555,262,41.72,126,445,10,39.19,47,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Cardoso,Real Betis,23,Milieu défensif,28,2147,3,1,2.67,0.73,0.11,0.03,0.14,25.00,949,86.04,9,26,416,161,52.69,137,236,7,63.41,63,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Edu Exposito,Espanyol,28,Milieu central,19,1044,0,2,1.19,3.67,0.10,0.32,0.42,3.00,299,72.4,28,15,212,110,50.71,71,229,6,53.57,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Inigo Ruiz,Athletic Club,31,Milieu central,26,1502,0,4,0.37,3.47,0.02,0.21,0.23,3.00,676,83.46,28,16,415,212,46.95,77,200,1,76.19,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Diaz,Rayo Vallecano,27,Milieu central,26,1199,3,0,2.71,2.28,0.20,0.17,0.37,3.00,436,84.17,26,20,277,164,46.96,54,166,8,60.61,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Saul niguez,Sevilla,30,Milieu central,24,1556,1,6,3.65,2.11,0.21,0.12,0.33,3.00,510,80.31,22,12,257,121,48.25,110,195,9,48,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Rodriguez,Celta Vigo,22,Milieu défensif,17,934,0,0,0.13,0.77,0.01,0.07,0.09,3.00,717,91.69,17,0,421,179,39.66,23,100,0,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Guridi,Alaves,30,Milieu central,33,2149,3,1,4.34,1.14,0.18,0.05,0.23,3.00,538,75.67,17,8,347,190,40.67,109,263,12,33.33,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Seydouba Cisse,Leganes,24,Milieu central,34,2494,3,1,2.29,0.88,0.08,0.03,0.11,3.00,963,85.45,17,30,470,221,49.71,86,114,1,64.29,41,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Yvan Neyou,Leganes,28,Milieu défensif,30,2344,1,1,0.46,0.71,0.02,0.03,0.04,3.00,970,88.1,13,19,458,179,56.03,144,220,3,52.78,36,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Torro,Osasuna,30,Milieu défensif,35,2983,3,0,2.67,0.98,0.08,0.03,0.11,3.00,1026,75.78,10,6,539,242,42.95,137,327,3,71.43,69,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Milla,Getafe,30,Milieu central,33,2887,1,4,1.86,4.25,0.06,0.13,0.19,3.50,1074,81.24,70,21,709,354,54.03,161,485,8,60,28,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Ander Guevara,Alaves,27,Milieu central,33,1969,0,1,0.97,0.67,0.04,0.03,0.08,3.50,759,77.45,12,9,395,180,44.92,106,279,3,64.29,41,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Jauregizar,Athletic Club,21,Milieu central,34,2244,2,1,01.04,1.6,0.04,0.06,0.11,30.00,898,82.46,23,20,523,237,52.79,180,294,8,55.56,34,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Casado,Barcelona,21,Milieu central,23,1640,1,3,0.91,1.63,0.05,0.09,0.14,30.00,1218,89.89,9,4,702,279,52.87,92,177,1,50,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modric,Real Madrid,39,Milieu central,35,1774,2,6,1.62,7.9,0.08,0.40,0.48,4.00,1686,91.33,68,14,1150,609,48.61,70,294,6,60.87,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergi Darder,Mallorca,31,Milieu central,38,2811,2,6,1.89,4.96,0.06,0.16,0.22,4.00,908,81.43,55,34,610,312,51.03,124,424,9,53.13,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Sotelo,Celta Vigo,21,Milieu défensif,24,1268,0,0,0.21,1.46,0.01,0.10,0.12,4.00,857,88.62,19,8,484,206,40.87,47,178,0,47.06,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Terrats,"Getafe,Villarreal",24,Milieu central,26,1356,4,1,2.91,3.27,0.19,0.22,0.41,4.00,281,73.18,17,26,191,111,50,90,218,9,50.98,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Ander Olasagasti,Real Sociedad,24,Milieu central,22,821,1,1,1.22,01.06,0.13,0.12,0.25,4.00,312,78.99,6,3,178,90,43,43,118,2,27.27,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Gallagher,Atletico Madrid,25,Milieu central,32,1637,3,3,3,1.31,0.16,0.07,0.24,40.00,704,86.59,13,17,394,171,48.67,110,193,4,48.57,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Arda Güler,Real Madrid,20,Milieu offensif,28,1252,3,4,4,6.17,0.29,0.44,0.73,45.00,733,89.94,40,20,530,312,56.77,88,179,17,50,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenkie de Jong,Barcelona,28,Milieu central,26,1105,2,2,01.02,2.3,0.08,0.19,0.27,45.00,1082,95.08,21,5,739,337,57.14,52,79,3,62.5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny van de Beek,Girona,28,Milieu central,26,1435,2,2,1.39,3.2,0.09,0.20,0.29,5.00,365,83.72,18,6,227,146,44.54,53,117,5,46.15,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Lozano,Espanyol,25,Milieu central,30,2015,0,1,0.16,1,0.01,0.04,0.05,5.00,681,85.13,17,5,357,168,38.32,82,180,2,29.41,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Urko Gonzalez,"Espanyol,Real Sociedad",24,Milieu défensif,18,1441,0,2,0.68,0.87,0.04,0.05,0.1,5.00,344,77.65,10,6,167,76,53.21,83,148,2,37.5,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermin Lopez,Barcelona,22,Milieu offensif,28,1224,6,5,4.76,4.71,0.35,0.35,0.7,50.00,535,86.15,29,25,428,238,45.81,71,392,26,40,2,24,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
Pablo Barrios,Atletico Madrid,22,Milieu central,31,2347,1,4,1.37,2.93,0.05,0.11,0.16,55.00,1289,87.27,27,25,707,349,55.19,133,298,8,64.1,30,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Isco,Real Betis,33,Milieu offensif,22,1565,9,8,8.83,05.05,0.51,0.29,0.8,6.00,925,86.21,61,27,708,453,46.85,104,327,15,49.09,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Fornals,Real Betis,29,Milieu central,26,1876,2,0,1.94,03.07,0.09,0.15,0.24,6.00,862,82.88,38,7,569,304,40.82,60,287,4,25.93,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Martin,Girona,26,Milieu offensif,32,2054,1,1,1.43,1.89,0.06,0.08,0.15,6.00,1239,91.37,22,25,724,324,42.61,75,223,3,60.98,12,19,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
Ilaix Moriba,Celta Vigo,22,Milieu central,33,2115,1,1,2.14,2.32,0.09,0.10,0.19,6.00,837,86.29,21,15,542,268,56.51,165,245,12,41.67,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Roca,Real Betis,28,Milieu défensif,14,912,2,2,1.11,1.5,0.11,0.15,0.26,6.00,461,87.64,12,4,236,107,43.59,34,90,4,80,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Kral,Espanyol,27,Milieu central,37,2699,0,1,1.97,2.12,0.07,0.07,0.14,6.00,594,75.19,12,29,293,150,54.31,145,340,2,58,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Gomez,Athletic Club,22,Milieu offensif,32,1267,1,3,2.79,01.02,0.20,0.07,0.27,6.00,216,77.14,10,12,140,85,47.65,71,141,4,50,14,3,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
Dani Olmo,Barcelona,27,Milieu offensif,25,1221,10,4,6.64,3.85,0.49,0.28,0.77,60.00,515,83.33,27,23,374,213,47.77,75,204,17,57.5,11,10,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
Oihan Sancet,Athletic Club,25,Milieu offensif,29,1645,15,1,10.46,1.86,0.57,0.10,0.67,60.00,456,83.82,21,24,324,198,41.48,73,233,20,53.33,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Zubimendi,Real Sociedad,26,Milieu offensif,36,2966,2,1,3.92,1.21,0.12,0.04,0.16,60.00,1479,84.42,19,19,758,321,58.16,164,359,8,67.86,77,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavi,Barcelona,20,Milieu central,26,1079,1,1,01.06,1.65,0.09,0.14,0.23,60.00,727,90.99,15,9,465,221,49.12,139,253,5,75,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Camavinga,Real Madrid,22,Milieu central,19,1079,1,2,0.89,0.91,0.07,0.08,0.15,60.00,677,88.96,11,15,359,175,59.67,108,124,2,60,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibril Sow,Sevilla,28,Milieu central,30,2095,2,1,2.68,02.02,0.12,0.09,0.2,7.50,880,89.61,21,10,423,206,57.14,100,168,6,47.62,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelien Tchouameni,Real Madrid,25,Milieu défensif,32,2697,0,0,1.82,0.72,0.06,0.02,0.08,75.00,1862,92.91,5,10,874,284,65.4,155,190,3,76.92,91,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Santi Comesana,Villarreal,28,Milieu central,35,2597,4,2,4.79,2.94,0.17,0.10,0.27,8.00,1156,85.63,28,18,613,289,47.93,162,308,8,56.25,52,34,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucien Agoume,Sevilla,23,Milieu défensif,35,2113,1,3,0.65,2.38,0.03,0.10,0.13,8.00,998,82.89,27,22,483,243,53.85,140,275,2,75.86,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Sambi Lokonga,Sevilla,25,Milieu central,22,1482,0,2,0.77,1.4,0.05,0.09,0.13,8.00,794,89.62,19,4,390,170,56.82,75,131,5,50,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Beltran,Celta Vigo,26,Milieu central,34,2443,2,1,0.9,2.11,0.03,0.08,0.11,8.00,1309,88.99,16,10,668,260,42.92,91,224,4,55.56,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Marin,Real Sociedad,21,Milieu central,23,1224,1,2,2.2,1.17,0.16,0.09,0.25,8.00,372,82.12,14,20,218,114,48.77,79,166,7,60.61,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Berenguer,Athletic Club,29,Milieu central,36,2381,6,7,7.48,6.5,0.28,0.23,0.51,9.00,581,77.06,47,33,461,275,39.74,122,475,19,44.59,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepelu,Valencia,26,Milieu défensif,34,1691,2,1,1.95,2.57,0.10,0.14,0.24,9.00,943,84.12,32,8,564,291,55.36,93,299,6,72.73,40,14,,,,,,,,,,,,,,,,,,,,,,,,,,
